"GEOID","state","income","income.moe","age","age.moe"
"01001","Alabama",51281,2391,37.7,0.5
"01003","Alabama",50254,1263,42.2,0.3
"01005","Alabama",32964,2973,38.8,0.5
"01007","Alabama",38678,3995,38.9,0.9
"01009","Alabama",45813,3141,40.7,0.4
"01011","Alabama",31938,5884,39.3,2.2
"01013","Alabama",32229,1793,40.5,0.4
"01015","Alabama",41703,925,39.1,0.4
"01017","Alabama",34177,2949,43,0.5
"01019","Alabama",36296,1710,45.4,0.4
"01021","Alabama",41627,2025,38.8,0.6
"01023","Alabama",33536,2231,44.9,0.2
"01025","Alabama",32011,3088,41.1,0.9
"01027","Alabama",35327,4517,43.8,0.7
"01029","Alabama",38056,3883,41.3,0.7
"01031","Alabama",46729,2066,38.8,0.6
"01033","Alabama",40576,2536,42.2,0.4
"01035","Alabama",24900,3001,43.7,0.4
"01037","Alabama",31212,2971,45.1,0.2
"01039","Alabama",36444,1673,42.6,0.4
"01041","Alabama",36022,3041,41.3,0.5
"01043","Alabama",38971,1526,40.5,0.4
"01045","Alabama",45028,2413,36.8,0.4
"01047","Alabama",27306,2075,38.7,0.5
"01049","Alabama",38192,1360,39.3,0.5
"01051","Alabama",53555,1980,37.9,0.4
"01053","Alabama",32330,2209,40.3,0.6
"01055","Alabama",39220,1976,40.8,0.3
"01057","Alabama",34680,2112,43.2,0.8
"01059","Alabama",35372,2437,38.8,0.9
"01061","Alabama",36024,2022,42.2,0.4
"01063","Alabama",20541,2413,42.4,0.7
"01065","Alabama",32714,2373,40.2,0.7
"01067","Alabama",41997,3220,43,0.6
"01069","Alabama",41571,863,39,0.2
"01071","Alabama",37745,1399,42.2,0.6
"01073","Alabama",45610,910,37.4,0.1
"01075","Alabama",35450,2018,43.7,0.9
"01077","Alabama",43125,1602,41.1,0.4
"01079","Alabama",40003,2651,41.7,0.7
"01081","Alabama",44570,2152,30.3,0.2
"01083","Alabama",49570,1409,39,0.4
"01085","Alabama",25876,2478,39.5,1.4
"01087","Alabama",30738,2093,37.5,0.9
"01089","Alabama",57993,1443,37.8,0.2
"01091","Alabama",32042,2576,42.2,0.6
"01093","Alabama",32299,2084,44.1,0.4
"01095","Alabama",38983,1262,38.8,0.3
"01097","Alabama",43809,999,37,0.2
"01099","Alabama",27257,3360,41.1,0.5
"01101","Alabama",44369,1030,35.2,0.2
"01103","Alabama",45751,1183,39.5,0.4
"01105","Alabama",24537,2928,36.3,0.6
"01107","Alabama",30330,2351,42.4,0.5
"01109","Alabama",32825,2455,31.3,1
